Customer_ID,Customer_Name,Gender,Age,State,Signup_Date,Loyalty_Segment
CUST1127,Customer_1,Male,30,Johor,2022-01-28,New
CUST1460,Customer_2,Female,45,Penang,2022-07-23,Regular
CUST861,Customer_3,Female,31,Pahang,2022-11-09,VIP
CUST1295,Customer_4,Male,20,Sarawak,2022-12-31,Regular
CUST1131,Customer_5,Male,33,Pahang,2022-02-06,Regular
CUST1096,Customer_6,Female,42,Johor,2023-01-27,VIP
CUST1725,Customer_7,Male,20,Kuala Lumpur,2023-09-09,Regular
CUST1045,Customer_8,Female,51,Penang,2022-08-31,New
CUST1639,Customer_9,Male,20,Johor,2022-04-10,New
CUST122,Customer_10,Male,58,Selangor,2022-02-13,Regular
CUST467,Customer_11,Female,46,Melaka,2022-03-06,Regular
CUST1239,Customer_12,Female,57,Melaka,2022-06-27,Regular
CUST331,Customer_13,Male,36,Perak,2022-05-27,New
CUST1483,Customer_14,Female,37,Sabah,2023-07-15,Regular
CUST88,Customer_15,Female,38,Johor,2022-03-08,Regular
CUST1397,Customer_16,Female,37,Penang,2022-12-13,Regular
CUST1124,Customer_17,Female,45,Penang,2022-02-15,Regular
CUST872,Customer_18,Female,44,Johor,2022-03-11,Regular
CUST1688,Customer_19,Female,42,Sabah,2023-02-18,Regular
CUST131,Customer_20,Male,19,Kuala Lumpur,2023-03-30,Regular
CUST1686,Customer_21,Female,41,Sabah,2023-09-13,New
CUST1333,Customer_22,Female,50,Melaka,2022-07-28,New
CUST770,Customer_23,Female,36,Negeri Sembilan,2022-07-26,New
CUST344,Customer_24,Female,43,Johor,2023-01-16,VIP
CUST1516,Customer_25,Male,58,Perak,2022-03-24,Regular
CUST1438,Customer_26,Male,20,Melaka,2022-10-13,New
CUST806,Customer_27,Female,44,Pahang,2023-04-02,New
CUST386,Customer_28,Female,31,Kuala Lumpur,2023-09-27,New
CUST1216,Customer_29,Male,37,Pahang,2023-02-22,Regular
CUST956,Customer_30,Female,52,Kuala Lumpur,2022-08-26,Regular
CUST277,Customer_31,Female,40,Negeri Sembilan,2022-12-12,Regular
CUST1185,Customer_32,Male,42,Sabah,2023-01-01,Regular
CUST460,Customer_33,Female,21,Pahang,2022-12-23,Regular
CUST1338,Customer_34,Female,19,Negeri Sembilan,2022-03-02,Regular
CUST22,Customer_35,Male,19,Pahang,2023-01-19,New
CUST253,Customer_36,Female,42,Sarawak,2022-06-12,Regular
CUST748,Customer_37,Female,40,Perak,2023-08-01,New
CUST857,Customer_38,Male,38,Negeri Sembilan,2022-01-13,Regular
CUST1585,Customer_39,Male,42,Negeri Sembilan,2023-07-26,New
CUST475,Customer_40,Male,44,Kuala Lumpur,2022-04-17,Regular
CUST1083,Customer_41,Female,28,Melaka,2022-12-29,Regular
CUST511,Customer_42,Male,31,Melaka,2022-09-22,New
CUST1706,Customer_43,Female,34,Kuala Lumpur,2022-04-18,Regular
CUST1500,Customer_44,Female,32,Pahang,2023-04-13,Regular
CUST700,Customer_45,Male,48,Sarawak,2023-11-20,New
CUST976,Customer_46,Female,51,Selangor,2022-09-25,New
CUST1807,Customer_47,Female,53,Perak,2022-08-23,New
CUST190,Customer_48,Male,57,Perak,2023-09-16,VIP
CUST958,Customer_49,Male,30,Pahang,2022-08-03,New
CUST687,Customer_50,Female,35,Perak,2023-04-01,New
CUST563,Customer_52,Female,56,Penang,2023-08-25,New
CUST1900,Customer_53,Female,45,Sabah,2022-12-05,New
CUST1591,Customer_54,Male,43,Selangor,2023-12-20,Regular
CUST1268,Customer_55,Female,31,Sabah,2022-06-14,VIP
CUST832,Customer_56,Female,54,Sabah,2022-02-10,Regular
CUST1529,Customer_57,Female,28,Sarawak,2022-08-01,Regular
CUST1155,Customer_58,Male,49,Negeri Sembilan,2022-04-25,New
CUST1509,Customer_59,Male,41,Negeri Sembilan,2023-04-06,Regular
CUST1843,Customer_60,Male,48,Johor,2022-05-15,New
CUST647,Customer_61,Female,57,Kuala Lumpur,2022-12-11,Regular
CUST21,Customer_62,Female,58,Perak,2022-02-02,Regular
CUST841,Customer_63,Female,25,Selangor,2023-05-30,New
CUST167,Customer_64,Female,56,Perak,2023-07-05,Regular
CUST1298,Customer_65,Female,25,Pahang,2022-12-18,Regular
CUST388,Customer_66,Female,48,Penang,2023-11-11,VIP
CUST601,Customer_67,Female,36,Sarawak,2023-05-15,VIP
CUST316,Customer_68,Female,53,Sarawak,2023-05-13,VIP
CUST14,Customer_69,Male,56,Penang,2022-10-06,Regular
CUST242,Customer_70,Male,49,Perak,2023-03-26,Regular
CUST777,Customer_71,Male,38,Negeri Sembilan,2022-10-29,Regular
CUST1370,Customer_72,Female,40,Johor,2023-06-02,Regular
CUST565,Customer_73,Male,53,Kuala Lumpur,2022-10-04,Regular
CUST898,Customer_74,Male,32,Penang,2023-09-01,New
CUST1364,Customer_75,Male,19,Selangor,2022-03-21,New
CUST92,Customer_76,Female,29,Perak,2023-03-27,New
CUST1391,Customer_77,Female,55,Negeri Sembilan,2022-09-12,New
CUST1479,Customer_79,Male,55,Penang,2022-08-02,New
CUST1452,Customer_80,Male,18,Penang,2022-04-17,New
CUST509,Customer_81,Male,55,Sarawak,2022-04-11,Regular
CUST776,Customer_82,Male,43,Pahang,2023-09-17,Regular
CUST1967,Customer_83,Female,40,Sarawak,2023-01-03,New
CUST35,Customer_84,Female,18,Selangor,2023-12-05,Regular
CUST206,Customer_85,Male,38,Penang,2023-11-24,New
CUST1105,Customer_86,Female,36,Selangor,2023-07-16,Regular
CUST1956,Customer_87,Female,46,Negeri Sembilan,2022-01-29,Regular
CUST1586,Customer_88,Male,43,Sarawak,2022-12-23,New
CUST1896,Customer_89,Male,51,Perak,2023-02-07,Regular
CUST1412,Customer_90,Female,34,Sarawak,2023-09-08,New
CUST1026,Customer_91,Female,35,Penang,2022-04-05,New
CUST1022,Customer_92,Male,49,Penang,2023-07-24,Regular
CUST1414,Customer_93,Female,21,Selangor,2022-05-22,Regular
CUST566,Customer_94,Male,47,Perak,2022-05-05,New
CUST1130,Customer_95,Female,48,Sarawak,2022-03-04,VIP
CUST1796,Customer_96,Male,35,Penang,2023-01-07,New
CUST1846,Customer_97,Female,22,Perak,2022-07-23,VIP
CUST1501,Customer_98,Female,49,Pahang,2022-11-16,Regular
CUST703,Customer_99,Male,46,Selangor,2022-05-19,Regular
CUST402,Customer_100,Male,29,Sarawak,2022-06-24,New
CUST730,Customer_101,Female,32,Melaka,2023-05-07,VIP
CUST1580,Customer_102,Female,32,Melaka,2023-09-01,New
CUST162,Customer_103,Female,52,Selangor,2022-07-01,VIP
CUST202,Customer_104,Male,52,Johor,2023-09-22,New
CUST1982,Customer_105,Male,31,Negeri Sembilan,2023-05-12,New
CUST996,Customer_106,Male,56,Kuala Lumpur,2022-05-09,Regular
CUST270,Customer_107,Male,35,Selangor,2023-06-06,VIP
CUST1887,Customer_108,Female,55,Sabah,2023-10-15,New
CUST816,Customer_109,Male,39,Selangor,2023-10-31,New
CUST456,Customer_111,Female,28,Selangor,2022-09-18,Regular
CUST1486,Customer_112,Female,20,Sabah,2022-02-22,New
CUST1751,Customer_113,Female,31,Negeri Sembilan,2022-04-01,VIP
CUST1276,Customer_114,Male,42,Perak,2022-09-07,Regular
CUST1017,Customer_115,Female,31,Johor,2023-11-10,Regular
CUST1726,Customer_116,Male,48,Melaka,2022-08-16,Regular
CUST296,Customer_117,Female,42,Johor,2023-03-12,Regular
CUST1749,Customer_118,Male,58,Johor,2023-09-07,New
CUST720,Customer_119,Female,36,Negeri Sembilan,2023-07-12,Regular
CUST1773,Customer_120,Male,29,Selangor,2022-03-30,New
CUST338,Customer_121,Male,24,Penang,2022-10-22,New
CUST879,Customer_122,Female,31,Johor,2022-02-11,New
CUST1077,Customer_123,Male,46,Melaka,2023-11-19,VIP
CUST792,Customer_124,Male,31,Selangor,2023-06-27,VIP
CUST1946,Customer_125,Male,40,Penang,2023-08-06,Regular
CUST217,Customer_126,Female,31,Kuala Lumpur,2023-04-18,Regular
CUST764,Customer_127,Female,40,Sabah,2023-04-15,Regular
CUST188,Customer_128,Female,25,Negeri Sembilan,2022-03-16,New
CUST380,Customer_129,Female,30,Pahang,2023-01-23,Regular
CUST493,Customer_130,Male,53,Negeri Sembilan,2023-12-30,Regular
CUST1065,Customer_131,Female,18,Pahang,2023-04-27,New
CUST1181,Customer_132,Male,54,Perak,2023-06-24,New
CUST15,Customer_133,Female,43,Penang,2022-01-02,VIP
CUST1837,Customer_134,Male,21,Melaka,2023-06-22,New
CUST65,Customer_135,Female,33,Negeri Sembilan,2022-06-20,New
CUST1881,Customer_136,Male,42,Negeri Sembilan,2023-04-19,Regular
CUST1863,Customer_137,Female,36,Selangor,2023-02-26,Regular
CUST521,Customer_138,Female,37,Pahang,2023-06-17,New
CUST1368,Customer_139,Male,43,Perak,2022-10-13,Regular
CUST1153,Customer_140,Female,49,Pahang,2022-02-07,VIP
CUST648,Customer_141,Male,20,Negeri Sembilan,2022-05-05,New
CUST1496,Customer_142,Male,24,Penang,2022-11-11,New
CUST1087,Customer_143,Female,49,Sarawak,2023-07-25,New
CUST1163,Customer_144,Female,22,Negeri Sembilan,2022-02-13,Regular
CUST1523,Customer_145,Male,38,Kuala Lumpur,2022-11-28,Regular
CUST593,Customer_146,Female,47,Kuala Lumpur,2023-06-27,New
CUST392,Customer_147,Male,37,Perak,2022-06-14,New
CUST1699,Customer_148,Female,46,Melaka,2022-12-24,New
CUST419,Customer_149,Female,41,Pahang,2023-05-27,Regular
CUST289,Customer_150,Male,18,Perak,2023-12-12,Regular
CUST379,Customer_151,Male,42,Melaka,2023-03-31,New
CUST1797,Customer_152,Female,44,Johor,2022-08-07,Regular
CUST1514,Customer_153,Female,42,Negeri Sembilan,2023-10-28,VIP
CUST231,Customer_154,Female,38,Johor,2022-07-03,New
CUST1018,Customer_155,Female,34,Perak,2023-01-18,VIP
CUST41,Customer_156,Male,45,Sarawak,2022-10-26,Regular
CUST1052,Customer_157,Male,49,Negeri Sembilan,2023-02-07,Regular
CUST135,Customer_158,Female,51,Perak,2023-10-24,Regular
CUST201,Customer_159,Male,39,Sarawak,2023-03-17,Regular
CUST1864,Customer_160,Female,59,Johor,2023-07-31,Regular
CUST780,Customer_161,Female,36,Kuala Lumpur,2023-01-14,Regular
CUST930,Customer_162,Female,25,Kuala Lumpur,2023-11-05,Regular
CUST1057,Customer_163,Male,19,Perak,2023-07-16,Regular
CUST1072,Customer_164,Male,22,Kuala Lumpur,2023-11-03,New
CUST503,Customer_165,Male,45,Kuala Lumpur,2022-11-05,New
CUST407,Customer_166,Male,21,Kuala Lumpur,2023-04-15,Regular
CUST1598,Customer_167,Female,53,Johor,2022-02-20,New
CUST1752,Customer_168,Female,18,Melaka,2022-10-03,Regular
CUST805,Customer_169,Male,32,Sarawak,2023-07-11,Regular
CUST99,Customer_170,Female,30,Perak,2023-03-10,New
CUST684,Customer_171,Male,48,Sarawak,2023-01-15,VIP
CUST726,Customer_173,Male,23,Melaka,2022-05-16,New
CUST1571,Customer_174,Male,41,Melaka,2023-01-02,VIP
CUST961,Customer_175,Female,30,Sarawak,2022-01-21,Regular
CUST1763,Customer_176,Female,38,Perak,2023-06-14,New
CUST613,Customer_177,Female,41,Sabah,2022-12-28,VIP
CUST643,Customer_180,Female,41,Sarawak,2022-11-15,Regular
CUST1793,Customer_181,Female,29,Perak,2023-04-11,New
CUST1029,Customer_182,Male,37,Pahang,2023-02-08,New
CUST1242,Customer_183,Female,59,Melaka,2022-05-01,New
CUST767,Customer_185,Male,32,Sabah,2022-04-07,VIP
CUST398,Customer_186,Female,21,Johor,2023-03-12,Regular
CUST871,Customer_187,Female,31,Perak,2023-02-18,VIP
CUST795,Customer_188,Male,18,Pahang,2022-05-09,New
CUST393,Customer_189,Female,50,Penang,2022-09-03,Regular
CUST207,Customer_190,Male,46,Kuala Lumpur,2022-01-10,Regular
CUST1039,Customer_191,Female,27,Selangor,2023-07-31,Regular
CUST1882,Customer_192,Male,53,Penang,2023-02-21,Regular
CUST1578,Customer_193,Male,31,Selangor,2022-12-15,New
CUST892,Customer_194,Male,39,Sabah,2023-02-23,Regular
CUST1485,Customer_195,Female,50,Kuala Lumpur,2022-06-14,VIP
CUST1715,Customer_196,Female,45,Penang,2022-06-28,New
CUST1599,Customer_197,Female,24,Melaka,2022-02-23,Regular
CUST864,Customer_198,Female,53,Perak,2022-11-15,Regular
CUST743,Customer_199,Female,53,Kuala Lumpur,2022-02-15,Regular
CUST1265,Customer_200,Female,58,Kuala Lumpur,2023-03-06,VIP
CUST564,Customer_201,Male,51,Penang,2023-01-12,Regular
CUST1021,Customer_202,Male,54,Penang,2022-06-27,Regular
CUST96,Customer_203,Female,23,Melaka,2023-06-03,New
CUST1924,Customer_204,Female,52,Perak,2023-08-19,New
CUST1758,Customer_205,Male,44,Melaka,2022-05-08,New
CUST485,Customer_206,Female,47,Johor,2023-05-06,Regular
CUST1431,Customer_207,Female,49,Negeri Sembilan,2023-12-27,Regular
CUST749,Customer_209,Male,39,Kuala Lumpur,2022-01-12,Regular
CUST1679,Customer_210,Female,38,Sabah,2023-08-09,New
CUST1195,Customer_211,Male,22,Johor,2023-07-04,VIP
CUST541,Customer_212,Female,38,Kuala Lumpur,2023-05-03,Regular
CUST1060,Customer_213,Male,58,Sabah,2023-10-23,New
CUST525,Customer_214,Female,37,Johor,2023-02-11,Regular
CUST1184,Customer_215,Female,55,Pahang,2023-04-24,Regular
CUST1723,Customer_217,Male,54,Pahang,2022-08-02,Regular
CUST1267,Customer_218,Male,23,Johor,2022-01-21,New
CUST1110,Customer_219,Female,48,Johor,2023-04-13,Regular
CUST1820,Customer_220,Female,41,Melaka,2023-03-21,Regular
CUST578,Customer_221,Male,35,Selangor,2023-12-21,New
CUST682,Customer_222,Male,46,Negeri Sembilan,2022-07-30,New
CUST557,Customer_223,Female,29,Penang,2023-10-26,Regular
CUST1977,Customer_225,Male,46,Perak,2022-04-17,Regular
CUST1013,Customer_226,Female,24,Johor,2023-11-02,New
CUST646,Customer_227,Male,33,Johor,2023-06-01,Regular
CUST796,Customer_228,Female,29,Sarawak,2023-04-10,Regular
CUST1644,Customer_230,Male,21,Pahang,2023-11-08,New
CUST1822,Customer_233,Female,45,Johor,2023-12-07,New
CUST1355,Customer_235,Male,25,Pahang,2022-04-28,New
CUST1664,Customer_236,Male,43,Melaka,2022-05-13,Regular
CUST1530,Customer_237,Male,57,Sarawak,2022-06-07,VIP
CUST1372,Customer_238,Male,48,Johor,2023-09-11,New
CUST1497,Customer_239,Female,36,Melaka,2022-06-22,New
CUST1255,Customer_240,Female,24,Pahang,2023-10-20,Regular
CUST1249,Customer_242,Male,30,Negeri Sembilan,2023-02-25,New
CUST1409,Customer_243,Female,35,Kuala Lumpur,2022-09-17,New
CUST1401,Customer_244,Male,35,Pahang,2023-07-12,New
CUST1307,Customer_245,Female,37,Penang,2023-10-26,New
CUST633,Customer_247,Male,53,Sarawak,2022-08-04,Regular
CUST628,Customer_248,Female,57,Negeri Sembilan,2023-04-09,Regular
CUST973,Customer_249,Male,50,Melaka,2023-10-08,VIP
CUST1769,Customer_250,Female,24,Sabah,2022-08-12,Regular
CUST1283,Customer_251,Male,57,Melaka,2023-05-10,Regular
CUST1383,Customer_252,Male,22,Perak,2023-12-14,New
CUST710,Customer_253,Male,49,Pahang,2022-01-18,Regular
CUST1480,Customer_254,Male,26,Pahang,2022-07-23,Regular
CUST1435,Customer_255,Male,47,Negeri Sembilan,2022-05-14,VIP
CUST649,Customer_256,Male,49,Johor,2022-12-13,Regular
CUST318,Customer_257,Female,56,Selangor,2022-04-18,New
CUST1701,Customer_258,Male,21,Melaka,2023-02-27,Regular
CUST1258,Customer_261,Male,25,Penang,2023-10-16,New
CUST664,Customer_263,Female,54,Melaka,2023-08-12,Regular
CUST1999,Customer_264,Female,52,Sabah,2023-05-19,New
CUST1851,Customer_265,Male,54,Pahang,2022-06-23,New
CUST1398,Customer_266,Male,39,Pahang,2022-04-21,VIP
CUST1696,Customer_267,Female,18,Melaka,2022-04-27,Regular
CUST1632,Customer_268,Female,56,Melaka,2022-02-10,New
CUST1257,Customer_270,Male,50,Sarawak,2022-10-03,Regular
CUST1716,Customer_271,Male,21,Penang,2022-03-09,New
CUST1137,Customer_272,Female,26,Sarawak,2023-05-06,Regular
CUST1854,Customer_273,Female,25,Penang,2023-09-08,Regular
CUST1521,Customer_274,Male,39,Negeri Sembilan,2022-05-07,Regular
CUST442,Customer_275,Female,59,Perak,2023-08-09,Regular
CUST1292,Customer_277,Male,58,Penang,2022-09-15,New
CUST1534,Customer_278,Male,45,Penang,2022-12-17,New
CUST1831,Customer_279,Female,54,Penang,2022-11-05,Regular
CUST1410,Customer_280,Male,19,Melaka,2023-12-25,Regular
CUST1411,Customer_281,Male,34,Negeri Sembilan,2022-09-06,Regular
CUST1637,Customer_283,Female,30,Selangor,2022-02-12,VIP
CUST1649,Customer_284,Female,35,Sabah,2023-02-07,New
CUST952,Customer_285,Male,41,Penang,2022-05-26,New
CUST699,Customer_287,Female,50,Pahang,2022-07-18,Regular
